Number	Source	Source_ID	Source_Con	Target	Target_ID	Target_Con	Polysemies	OvertMarkings
34	belly/stomach	2114	4.70	heart	1223	4.52	7	0
34	belly/stomach	2114	4.70	navel	1838	4.71	2	3
34	belly/stomach	2114	4.70	womb	804	4.37	11	6
35	womb	804	4.37	belly/stomach	2114	4.70	11	0
36	heart	1223	4.52	belly/stomach	2114	4.70	7	2
36	heart	1223	4.52	kidney	489	4.96	3	3
36	heart	1223	4.52	lungs	688	4.82	2	3
37	nipple	796	4.83	milk	635	4.92	5	0
38	liver	1224	4.68	lungs	688	4.82	4	9
39	lungs	688	4.82	foam	1768	4.85	3	0
39	lungs	688	4.82	heart	1223	4.52	2	0
39	lungs	688	4.82	liver	1224	4.68	4	0
4	moon	1313	4.90	star	1430	4.69	2	0
4	moon	1313	4.90	sun	1343	4.83	17	0
40	car	1111	4.89	train	900	4.79	3	3
41	train	900	4.79	car	1111	4.89	3	0
42	kidney	489	4.96	heart	1223	4.52	3	0
43	mirror	1171	4.97	glasses	1898	4.90	2	9
43	mirror	1171	4.97	shadow	1388	4.54	3	0
44	glasses	1898	4.90	mirror	1171	4.97	2	0
45	(molar) tooth	1380	4.89	jaw	798	4.87	2	3
46	jaw	798	4.87	(molar) tooth	1380	4.89	2	0
46	jaw	798	4.87	chin	1510	4.89	44	5
47	navel	1838	4.71	belly/stomach	2114	4.70	2	0
48	cheek	1730	4.83	buttocks	834	4.83	2	3
48	cheek	1730	4.83	mouth	674	4.74	2	0
49	buttocks	834	4.83	cheek	1730	4.83	2	0
5	grass	606	4.93	straw/hay	342	4.87	11	10
50	skin	763		bark	1204	4.52	45	26
51	bark	1204	4.52	skin	763		45	0
52	beak	73	4.96	mouth	674	4.74	18	0
52	beak	73	4.96	tooth	1380	4.89	9	2
53	saliva/spittle	1503	4.89	foam	1768	4.85	8	4
54	foam	1768	4.85	lungs	688	4.82	3	2
54	foam	1768	4.85	saliva/spittle	1503	4.89	8	0
55	house	1252	5.00	nest	539		7	14
56	nest	539		bed	1663	5.00	2	0
56	nest	539		house	1252	5.00	7	0
57	estuary	2286	4.17	mouth	674	4.74	5	0
58	tongue	1205	4.93	flame	889	4.67	2	24
59	flame	889	4.67	embers	67		6	0
59	flame	889	4.67	tongue	1205	4.93	2	0
6	straw/hay	342	4.87	grass	606	4.93	11	0
60	road/street/way	2457	4.75	milky way	2289	4.52	2	15
61	milky way	2289	4.52	river/stream	3311	4.89	2	2
61	milky way	2289	4.52	road/street/way	2457	4.75	2	0
62	bed	1663	5.00	nest	539		2	2
63	egg	744	4.97	testicle	797	4.59	20	9
64	testicle	797	4.59	ball	1845	5.00	4	2
64	testicle	797	4.59	egg	744	4.97	20	0
64	testicle	797	4.59	seed	714	4.71	6	0
65	clock	1323	5.00	day	1225	4.31	2	8
65	clock	1323	5.00	sun	1343	4.83	15	0
66	seed	714	4.71	bud	1684	4.48	3	0
66	seed	714	4.71	testicle	797	4.59	6	6
67	shadow	1388	4.54	mirror	1171	4.97	3	5
68	airplane	1597	4.96	bird	937	5.00	3	0
69	ball	1845	5.00	testicle	797	4.59	4	0
7	smoke	778		cloud	1489		7	2
