Number	Source	Source_ID	Source_Con	Target	Target_ID	Target_Con	Polysemies_Urban	OvertMarkings_Urban	Polysemies_CLICS	OvertMarkingsFamily	OppositeOvertMarkingsFamily	OvertMarkingsLanguage	OppositeOvertMarkingsLanguage
64	testicle	797	4.59	seed	714	4.71	6	0		0	8	0	10
65	clock	1323	5.00	day	1225	4.31	2	8		2	7	2	8
65	clock	1323	5.00	sun	1343	4.83	15	0		0	10	0	15
66	seed	714	4.71	testicle	797	4.59	6	6		8	0	10	0
67	shadow	1388	4.54	mirror	1171	4.97	3	5		2	0	4	0
69	ball	1845	5.00	testicle	797	4.59	4	0		2	0	2	0
7	smoke	778		cloud	1489		7	2		4	3	4	3
7	smoke	778		dust	2	4.40	8	4		2	0	3	0
7	smoke	778		fog/mist	249	4.66	10	3		9	2	12	2
70	needle	1382	4.93	bone	1394	4.90	2	2		1	2	2	3
71	dew	1977	4.38	fog/mist	249	4.66	9	0		2	4	6	6
72	soil/earth	1228	4.87	dust	2	4.40	15	0		16	1	24	1
73	pen	794	4.92	feather	1201	4.90	3	3		1	1	1	1
74	feather	1201	4.90	beard	678	4.96	2	0		7	0	17	0
74	feather	1201	4.90	pen	794	4.92	3	0		1	1	1	1
75	beard	678	4.96	feather	1201	4.90	2	10		0	7	0	17
77	star	1430	4.69	moon	1313	4.90	2	5		1	2	1	4
81	rain	658		cloud	1489		4	2		4	0	8	0
81	rain	658		sky	1732	4.45	3	2		1	1	1	1
82	sky	1732	4.45	cloud	1489		8	2		14	2	18	2
82	sky	1732	4.45	rain	658		3	0		1	1	1	1
85	brain	1583	4.69	pus	1808	4.52	2	4		0	1	0	1
86	pus	1808	4.52	brain	1583	4.69	2	0		1	0	1	0
87	eyelash	1540	5.00	eyebrow	1173	4.85	26	3		3	5	5	8
87	eyelash	1540	5.00	eyelid	17	5.00	9	5		2	7	2	12
88	eyebrow	1173	4.85	eyelash	1540	5.00	26	0		5	3	8	5
89	eyelid	17	5.00	eyelash	1540	5.00	9	0		7	2	12	2
9	animal	619	4.61	bird	937	5.00	8	8		3	0	3	0
90	finger	1303	5.00	fingernail	1258	4.93	3	7		9	1	13	1
91	fingernail	1258	4.93	finger	1303	5.00	3	0		1	9	1	13
95	chin	1510	4.89	jaw	798	4.87	44	3		8	4	19	7
